timestamp,action,direction,price
2026-06-18T00:00:57.864400,OPEN,SELL,4280.13
2026-06-18T01:38:25.999911,OPEN,SELL,4320.8150000000005
2026-06-18T10:11:11.765896,OPEN,BUY,4263.76
